timestamp,window_id,slug,pnl,entry_side,real_winner_side,h_market_win,h_salvaged,h_salvage_win,entry_price,exit_price,cum_market_wins,cum_market_losses,cum_salvage_escapes,cum_salvage_wins
1781676899376,163,btc-updown-15m-1781676000,40.5000,UP,UP,true,false,false,0.40,1.00,41,52,33,0
1781677799381,164,btc-updown-15m-1781676900,-27.0000,UP,DOWN,false,false,false,0.40,,41,53,33,0
1781678699384,165,btc-updown-15m-1781677800,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,42,53,33,0
1781679599387,166,btc-updown-15m-1781678700,-14.8500,UP,DOWN,false,true,false,0.40,0.18,42,54,34,0
1781680499390,167,btc-updown-15m-1781679600,40.5000,UP,UP,true,false,false,0.40,1.00,43,54,34,0
1781681399396,168,btc-updown-15m-1781680500,-27.0000,UP,DOWN,false,false,false,0.40,,43,55,34,0
1781682299401,169,btc-updown-15m-1781681400,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,44,55,34,0
1781683199405,170,btc-updown-15m-1781682300,-18.3462,UP,UP,true,true,false,0.39,0.12,45,55,35,0
1781684099406,171,btc-updown-15m-1781683200,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,46,55,35,0
1781686799421,174,btc-updown-15m-1781685900,-23.2500,DOWN,UP,false,true,false,0.36,0.05,46,56,36,0
1781688599430,176,btc-updown-15m-1781687700,40.5000,UP,UP,true,false,false,0.40,1.00,47,56,36,0
1781689499430,177,btc-updown-15m-1781688600,-27.0000,UP,DOWN,false,false,false,0.40,,47,57,36,0
1781690399434,178,btc-updown-15m-1781689500,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,48,57,36,0
1781691299438,179,btc-updown-15m-1781690400,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,49,57,36,0
1781692199441,180,btc-updown-15m-1781691300,-16.2000,DOWN,UP,false,true,false,0.40,0.16,49,58,37,0
1781693099445,181,btc-updown-15m-1781692200,42.2308,DOWN,DOWN,true,false,false,0.39,1.00,50,58,37,0
1781693999450,182,btc-updown-15m-1781693100,40.5000,DOWN,DOWN,true,false,false,0.40,1.00,51,58,37,0
1781695799457,184,btc-updown-15m-1781694900,-27.0000,DOWN,UP,false,false,false,0.40,,51,59,37,0
1781696699460,185,btc-updown-15m-1781695800,42.2308,UP,UP,true,false,false,0.39,1.00,52,59,37,0
1781698499467,187,btc-updown-15m-1781697600,40.5000,UP,UP,true,false,false,0.40,1.00,53,59,37,0
1781699399472,188,btc-updown-15m-1781698500,-27.0000,UP,DOWN,false,false,false,0.40,,53,60,37,0
1781700299475,189,btc-updown-15m-1781699400,-27.0000,DOWN,UP,false,false,false,0.40,,53,61,37,0
